timestamp,j1,j2,j3,j4,j5,j6,j7
1680046760.407738,-0.00011459155902616463,0.03151267873219528,[0.],[95.],[0.],[0.],-0.016214705602202298
1680046760.4106522,-0.00011459155902616463,0.03151267873219528,[0. 0.],[95. 95.],[0. 0.],[0. 0.],-0.016214705602202298
1680046923.1475868,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1490366,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1500041,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1508741,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1517208,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.152623,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1534657,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1543155,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.155179,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1559916,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1568372,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.159799,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1604881,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1613908,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1639628,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.164821,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1680865,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1690912,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1701481,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1709483,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1717813,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1729121,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.174283,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.17521,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1761289,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
1680046923.1773186,-5.729577951308232e-05,0.011631043241155712,0.0,95.0,0.0,0.0,-0.006016056848873644
